"","species_COTW","species_old","species_new","family_old","family_new","major_clade"
"1","Acanthastrea brevis","Acanthastrea brevis","Acanthastrea brevis","Mussidae","Lobophylliidae","robust"
"2","Acanthastrea echinata","Acanthastrea echinata","Acanthastrea echinata","Mussidae","Lobophylliidae","robust"
"3","Acanthastrea faviaformis","Acanthastrea faviaformis","Dipsastraea faviaformis","Mussidae","Merulinidae","robust"
"4","Acanthastrea hemprichii","Acanthastrea hemprichii","Acanthastrea hemprichii","Mussidae","Lobophylliidae","robust"
"5","Acanthastrea hillae","Acanthastrea hillae","Homophyllia bowerbanki","Mussidae","Lobophylliidae","robust"
"6","Acanthastrea lordhowensis","Acanthastrea lordhowensis","Micromussa lordhowensis","Mussidae","Lobophylliidae","robust"
"7","Acanthastrea regularis","Acanthastrea regularis","Acanthastrea regularis","Mussidae","Lobophylliidae","robust"
"8","Acanthastrea rotundoflora","Acanthastrea rotundoflora","Acanthastrea rotundoflora","Mussidae","Lobophylliidae","robust"
"9","Acanthastrea subechinata","Acanthastrea subechinata","Acanthastrea subechinata","Mussidae","Lobophylliidae","robust"
"10","Acanthophyllia deshayesiana","Acanthophyllia deshayesiana","Acanthophyllia deshayesiana","Mussidae","Lobophylliidae","robust"
"11","Acropora abrolhosensis","Acropora abrolhosensis","Acropora abrolhosensis","Acroporidae","Acroporidae","complex"
"12","Acropora abrotanoides","Acropora abrotanoides","Acropora abrotanoides","Acroporidae","Acroporidae","complex"
"13","Acropora aculeus","Acropora aculeus","Acropora aculeus","Acroporidae","Acroporidae","complex"
"14","Acropora acuminata","Acropora acuminata","Acropora acuminata","Acroporidae","Acroporidae","complex"
"15","Acropora anthocercis","Acropora anthocercis","Acropora anthocercis","Acroporidae","Acroporidae","complex"
"16","Acropora aspera","Acropora aspera","Acropora aspera","Acroporidae","Acroporidae","complex"
"17","Acropora austera","Acropora austera","Acropora austera","Acroporidae","Acroporidae","complex"
"18","Acropora azurea","Acropora azurea","Acropora azurea","Acroporidae","Acroporidae","complex"
"19","Acropora bushyensis","Acropora bushyensis","Acropora bushyensis","Acroporidae","Acroporidae","complex"
"20","Acropora cardenae","Acropora cardenae","Acropora cardenae","Acroporidae","Acroporidae","complex"
"21","Acropora carduus","Acropora carduus","Acropora carduus","Acroporidae","Acroporidae","complex"
"22","Acropora caroliniana","Acropora caroliniana","Acropora caroliniana","Acroporidae","Acroporidae","complex"
"23","Acropora cerealis","Acropora cerealis","Acropora cerealis","Acroporidae","Acroporidae","complex"
"24","Acropora chesterfieldensis","Acropora chesterfieldensis","Acropora chesterfieldensis","Acroporidae","Acroporidae","complex"
"25","Acropora clathrata","Acropora clathrata","Acropora clathrata","Acroporidae","Acroporidae","complex"
"26","Acropora cytherea","Acropora cytherea","Acropora cytherea","Acroporidae","Acroporidae","complex"
"27","Acropora dendrum","Acropora dendrum","Acropora dendrum","Acroporidae","Acroporidae","complex"
"28","Acropora digitifera","Acropora digitifera","Acropora digitifera","Acroporidae","Acroporidae","complex"
"29","Acropora divaricata","Acropora divaricata","Acropora divaricata","Acroporidae","Acroporidae","complex"
"30","Acropora donei","Acropora donei","Acropora donei","Acroporidae","Acroporidae","complex"
"31","Acropora echinata","Acropora echinata","Acropora echinata","Acroporidae","Acroporidae","complex"
"32","Acropora elegans","Acropora elegans","Acropora elegans","Acroporidae","Acroporidae","complex"
"33","Acropora elseyi","Acropora elseyi","Acropora elseyi","Acroporidae","Acroporidae","complex"
"34","Acropora florida","Acropora florida","Acropora florida","Acroporidae","Acroporidae","complex"
"35","Acropora gemmifera","Acropora gemmifera","Acropora gemmifera","Acroporidae","Acroporidae","complex"
"36","Acropora glauca","Acropora glauca","Acropora glauca","Acroporidae","Acroporidae","complex"
"37","Acropora grandis","Acropora grandis","Acropora grandis","Acroporidae","Acroporidae","complex"
"38","Acropora granulosa","Acropora granulosa","Acropora granulosa","Acroporidae","Acroporidae","complex"
"39","Acropora horrida","Acropora horrida","Acropora horrida","Acroporidae","Acroporidae","complex"
"40","Acropora humilis","Acropora humilis","Acropora humilis","Acroporidae","Acroporidae","complex"
"41","Acropora hyacinthus","Acropora hyacinthus","Acropora hyacinthus","Acroporidae","Acroporidae","complex"
"42","Acropora intermedia","Acropora intermedia","Acropora intermedia","Acroporidae","Acroporidae","complex"
"43","Acropora kirstyae","Acropora kirstyae","Acropora kirstyae","Acroporidae","Acroporidae","complex"
"44","Acropora latistella","Acropora latistella","Acropora latistella","Acroporidae","Acroporidae","complex"
"45","Acropora listeri","Acropora listeri","Acropora listeri","Acroporidae","Acroporidae","complex"
"46","Acropora longicyathus","Acropora longicyathus","Acropora longicyathus","Acroporidae","Acroporidae","complex"
"47","Acropora loripes","Acropora loripes","Acropora loripes","Acroporidae","Acroporidae","complex"
"48","Acropora lovelli","Acropora lovelli","Acropora lovelli","Acroporidae","Acroporidae","complex"
