Acanthastrea bowerbanki,Homophyllia bowerbanki,Mussidae,Lobophylliidae,robust
Acanthastrea brevis,Acanthastrea brevis,Mussidae,Lobophylliidae,robust
Acanthastrea echinata,Acanthastrea echinata,Mussidae,Lobophylliidae,robust
Acanthastrea faviaformis,Dipsastraea faviaformis,Mussidae,Merulinidae,robust
Acanthastrea hemprichii,Acanthastrea hemprichii,Mussidae,Lobophylliidae,robust
Acanthastrea hillae,Homophyllia bowerbanki,Mussidae,Lobophylliidae,robust
Acanthastrea ishigakiensis,Acanthastrea ishigakiensis,Mussidae,Lobophylliidae,robust
Acanthastrea lordhowensis,Micromussa lordhowensis,Mussidae,Lobophylliidae,robust
Acanthastrea maxima,Sclerophyllia maxima,Mussidae,Lobophylliidae,robust
Acanthastrea regularis,Acanthastrea regularis,Mussidae,Lobophylliidae,robust
Acanthastrea rotundoflora,Acanthastrea rotundoflora,Mussidae,Lobophylliidae,robust
Acanthastrea subechinata,Acanthastrea subechinata,Mussidae,Lobophylliidae,robust
Acanthophyllia deshayesiana,Acanthophyllia deshayesiana,Mussidae,Lobophylliidae,robust
Acrhelia horrescens,Galaxea horrescens,Oculinidae,Euphylliidae,complex
Acropora abrolhosensis,Acropora abrolhosensis,Acroporidae,Acroporidae,complex
Acropora abrotanoides,Acropora abrotanoides,Acroporidae,Acroporidae,complex
Acropora aculeus,Acropora aculeus,Acroporidae,Acroporidae,complex
Acropora acuminata,Acropora acuminata,Acroporidae,Acroporidae,complex
Acropora akajimensis,Acropora akajimensis,Acroporidae,Acroporidae,complex
Acropora anthocercis,Acropora anthocercis,Acroporidae,Acroporidae,complex
Acropora appressa,Acropora appressa,Acroporidae,Acroporidae,complex
Acropora arabensis,Acropora arabensis,Acroporidae,Acroporidae,complex
Acropora aspera,Acropora aspera,Acroporidae,Acroporidae,complex
Acropora austera,Acropora austera,Acroporidae,Acroporidae,complex
Acropora awi,Acropora awi,Acroporidae,Acroporidae,complex
Acropora azurea,Acropora azurea,Acroporidae,Acroporidae,complex
Acropora batunai,Acropora batunai,Acroporidae,Acroporidae,complex
Acropora bifurcata,Acropora bifurcata,Acroporidae,Acroporidae,complex
Acropora branchi,Acropora branchi,Acroporidae,Acroporidae,complex
Acropora brueggemanni,Isopora brueggemanni,Acroporidae,Acroporidae,complex
Acropora bushyensis,Acropora bushyensis,Acroporidae,Acroporidae,complex
Acropora cardenae,Acropora cardenae,Acroporidae,Acroporidae,complex
Acropora carduus,Acropora carduus,Acroporidae,Acroporidae,complex
Acropora caroliniana,Acropora caroliniana,Acroporidae,Acroporidae,complex
Acropora cerealis,Acropora cerealis,Acroporidae,Acroporidae,complex
Acropora cervicornis,Acropora cervicornis,Acroporidae,Acroporidae,complex
Acropora chesterfieldensis,Acropora chesterfieldensis,Acroporidae,Acroporidae,complex
Acropora clathrata,Acropora clathrata,Acroporidae,Acroporidae,complex
Acropora convexa,Acropora convexa,Acroporidae,Acroporidae,complex
Acropora cophodactyla,Acropora cophodactyla,Acroporidae,Acroporidae,complex
Acropora copiosa,Acropora copiosa,Acroporidae,Acroporidae,complex
Acropora crateriformis,Isopora crateriformis,Acroporidae,Acroporidae,complex
Acropora cuneata,Isopora cuneata,Acroporidae,Acroporidae,complex
Acropora cylindrica,Acropora cylindrica,Acroporidae,Acroporidae,complex
Acropora cytherea,Acropora cytherea,Acroporidae,Acroporidae,complex
Acropora dendrum,Acropora dendrum,Acroporidae,Acroporidae,complex
Acropora derawanensis,Acropora derawanensis,Acroporidae,Acroporidae,complex
Acropora desalwii,Acropora desalwii,Acroporidae,Acroporidae,complex
Acropora digitifera,Acropora digitifera,Acroporidae,Acroporidae,complex
Acropora divaricata,Acropora divaricata,Acroporidae,Acroporidae,complex
Acropora donei,Acropora donei,Acroporidae,Acroporidae,complex
Acropora downingi,Acropora downingi,Acroporidae,Acroporidae,complex
Acropora echinata,Acropora echinata,Acroporidae,Acroporidae,complex
Acropora efflorescens,Acropora efflorescens,Acroporidae,Acroporidae,complex
Acropora elegans,Acropora elegans,Acroporidae,Acroporidae,complex
Acropora elegantula,Acropora elegantula,Acroporidae,Acroporidae,complex
Acropora elizabethensis,Isopora elizabethensis,Acroporidae,Acroporidae,complex
Acropora elseyi,Acropora elseyi,Acroporidae,Acroporidae,complex
Acropora eurystoma,Acropora eurystoma,Acroporidae,Acroporidae,complex
Acropora exquisita,Acropora exquisita,Acroporidae,Acroporidae,complex
Acropora fastigata,Acropora fastigata,Acroporidae,Acroporidae,complex
Acropora fenneri,Acropora fenneri,Acroporidae,Acroporidae,complex
Acropora filiformis,Acropora filiformis,Acroporidae,Acroporidae,complex
Acropora florida,Acropora florida,Acroporidae,Acroporidae,complex
Acropora forskali,Acropora forskali,Acroporidae,Acroporidae,complex
Acropora gemmifera,Acropora gemmifera,Acroporidae,Acroporidae,complex
Acropora glauca,Acropora glauca,Acroporidae,Acroporidae,complex
Acropora globiceps,Acropora globiceps,Acroporidae,Acroporidae,complex
Acropora gomezi,Acropora gomezi,Acroporidae,Acroporidae,complex
Acropora grandis,Acropora grandis,Acroporidae,Acroporidae,complex
Acropora granulosa,Acropora granulosa,Acroporidae,Acroporidae,complex
Acropora haimei,Acropora haimei,Acroporidae,Acroporidae,complex
Acropora halmaherae,Acropora halmaherae,Acroporidae,Acroporidae,complex
Acropora hemprichii,Acropora hemprichii,Acroporidae,Acroporidae,complex
Acropora hoeksemai,Acropora hoeksemai,Acroporidae,Acroporidae,complex
Acropora horrida,Acropora horrida,Acroporidae,Acroporidae,complex
Acropora humilis,Acropora humilis,Acroporidae,Acroporidae,complex
Acropora hyacinthus,Acropora hyacinthus,Acroporidae,Acroporidae,complex
Acropora indonesia,Acropora indonesia,Acroporidae,Acroporidae,complex
Acropora inermis,Acropora inermis,Acroporidae,Acroporidae,complex
Acropora insignis,Acropora insignis,Acroporidae,Acroporidae,complex
Acropora intermedia,Acropora intermedia,Acroporidae,Acroporidae,complex
