"","family","colonydiameterMin","colonydiameterMax","colonyareaMin","colonyareaMax","colonyshape","coloniality","ID"
"1","Merulinidae",20,20,NA,NA,NA,"colonial",3
"2","Lobophylliidae",150,200,NA,NA,NA,"colonial",5
"3","Acroporidae",300,1000,NA,NA,NA,"colonial",11
"4","Acroporidae",40,40,NA,NA,NA,"colonial",13
"5","Acroporidae",100,200,NA,NA,NA,"colonial",14
"6","Acroporidae",50,100,NA,NA,NA,"colonial",15
"7","Acroporidae",15,15,NA,NA,NA,"colonial",18
"8","Acroporidae",25,25,NA,NA,NA,"colonial",19
"9","Acroporidae",50,50,NA,NA,NA,"colonial",22
"10","Acroporidae",50,50,NA,NA,NA,"colonial",23
"11","Acroporidae",300,300,NA,NA,NA,"colonial",26
"12","Acroporidae",100,100,NA,NA,NA,"colonial",27
"13","Acroporidae",100,100,NA,NA,NA,"colonial",28
"14","Acroporidae",200,300,NA,NA,NA,"colonial",30
"15","Acroporidae",150,150,NA,NA,NA,"colonial",31
"16","Acroporidae",50,50,NA,NA,NA,"colonial",33
"17","Acroporidae",1500,1500,NA,NA,NA,"colonial",34
"18","Acroporidae",200,700,NA,NA,NA,"colonial",37
"19","Acroporidae",50,100,NA,NA,NA,"colonial",38
"20","Acroporidae",200,200,NA,NA,NA,"colonial",39
"21","Acroporidae",300,300,100.3970497,9975.408105,"23.26742069","colonial",41
"22","Acroporidae",500,500,NA,NA,NA,"colonial",42
"23","Acroporidae",50,50,NA,NA,NA,"colonial",45
"24","Acroporidae",40,50,NA,NA,NA,"colonial",47
"25","Acroporidae",600,600,NA,NA,NA,"colonial",49
"26","Acroporidae",100,100,NA,NA,NA,"colonial",50
"27","Acroporidae",200,200,NA,NA,NA,"colonial",51
"28","Acroporidae",300,300,NA,NA,NA,"colonial",53
"29","Acroporidae",1000,1000,NA,NA,NA,"colonial",55
"30","Acroporidae",15,15,117.7877159,96.00635909,NA,"colonial",56
"31","Acroporidae",80,80,NA,NA,NA,"colonial",57
"32","Acroporidae",100,200,NA,NA,NA,"colonial",58
"33","Acroporidae",15,200,NA,NA,NA,"colonial",59
"34","Acroporidae",80,80,NA,NA,NA,"colonial",61
"35","Acroporidae",500,500,NA,NA,NA,"colonial",62
"36","Acroporidae",100,100,NA,NA,NA,"colonial",65
"37","Acroporidae",30,30,NA,NA,NA,"colonial",66
"38","Acroporidae",100,100,NA,NA,NA,"colonial",67
"39","Acroporidae",75,75,NA,NA,NA,"colonial",68
"40","Acroporidae",200,300,NA,NA,NA,"colonial",69
"41","Acroporidae",50,50,NA,NA,NA,"colonial",71
"42","Acroporidae",200,300,NA,NA,NA,"colonial",74
"43","Acroporidae",200,400,NA,NA,NA,"colonial",80
"44","Acroporidae",50,50,NA,NA,NA,"colonial",81
"45","Acroporidae",40,100,NA,NA,NA,"colonial",85
"46","Acroporidae",200,200,NA,NA,NA,"colonial",86
"47","Acroporidae",500,1000,NA,NA,NA,"colonial",88
"48","Acroporidae",100,200,NA,NA,NA,"colonial",92
"49","Acroporidae",100,100,NA,NA,NA,"colonial",104
"50","Merulinidae",200,200,NA,NA,NA,"colonial",111
"51","Fungiidae",20,20,NA,NA,NA,"both",115
"52","Fungiidae",20,20,NA,NA,NA,"both",116
"53","Merulinidae",100,100,NA,NA,NA,"colonial",117
"54","Merulinidae",100,100,NA,NA,NA,"colonial",118
"55","Merulinidae",500,500,NA,NA,NA,"colonial",120
"56","Fungiidae",7.6,8,NA,NA,NA,"solitary",130
"57","Fungiidae",4,40,NA,NA,NA,"solitary",131
"58","Fungiidae",7,7,NA,NA,NA,"solitary",133
"59","Fungiidae",13,13,NA,NA,NA,"solitary",135
"60","Merulinidae",100,100,NA,NA,NA,"colonial",140
"61","Fungiidae",4,4,NA,NA,NA,"solitary",146
"62","Fungiidae",7,7,NA,NA,NA,"solitary",147
"63","Diploastraeidae",500,700,NA,NA,NA,"colonial",148
"64","Lobophylliidae",40,50,NA,NA,NA,"colonial",154
"65","Merulinidae",500,500,NA,NA,NA,"colonial",157
"66","Merulinidae",500,500,NA,NA,NA,"colonial",158
